bi_root,tri_root,core_meaning,original_chapter
بب,بوب,انفتاح مع اتصال دائم,ب ب
بب,بيب,منفذ دقيق يجري منه (أو فيه) الماء,ب ب
ءب,أبب,التهيؤ للأمر تقدمًا، أو ارتفاعًا,ء ب
ءب,أبو,الغَذْو,ء ب
ءب,أبي,الامتناع عن الشيء امتناعًا تامًا؛ كراهة له,ء ب
بء,بوأ,حيّز للاستقرار مُهيّأ ومُسَوّى - أو مناسب - لما يستقر فيه,ب ء
ءو,أوب,رجوع الشيء إلى مستقره,ء و
بت,بتت,منع امتداد الشيء بجعله قصيرًا، أو قطعه,ب ت
بت,بيت,حَيّز محيط يُسكَنُ فيه، أي يُستَقَرُّ,ب ت
بت,بتر,قَطْعُ ما يمتدُّ من الشيء دقيقًا، أو ضعيفًا,ب ت
بت,بتك,القطع بدقة وحِدّة,ب ت
بت,بتل,تميُّز الشيء – أو انفصاله – عن أصله جامعًا لما يجعله وافرًا قائمًا بذاته,ب ت
بث,بثث,نشرُ ما كان مجتمعًا منضمًا، وتفريقه,ب ث
بج,بجج,تفتُّق أثناء الشيء أو تفتُّحه واتساعه؛ فيضخُم الشيء، ويكون رِخوًا هَشًّا,ب ج
بج,بجس,تفجُّر سائل بقوة من شيء كثيف الجِرْم,ب ج
بح,بحح,فراغ الشيء أو تفرُّغه مما يُشغَل به عادةً أو توقعًا,ب ح
بح,بحث,فحص الدِّقاق المتراكمة كالتراب ونحوه وإخراجها نثرًا متفرقًا,ب ح
بح,بحر,شَقٌّ عظيم أو فجوة عظيمة في جِرْم شديد تشغلها مادة مسترسلة الحركة,ب ح
بخ,بخخ,عِظَمُ ظاهر الشيء مع تخلخله وذَهاب حِدّته أو غِلَظه من أثنائه,ب خ
بخ,بخس,نَقْصٌ في الأثناء (لنفاذ ما كان أو ما العادة أن يكون فيها) مع امتداد,ب خ
بخ,بخع,استفراغ قوة الشيء أو قوامه الغضّ الذي في باطنه منه بقوة,ب خ
بخ,بخل,إمساك ما يتطلّب ويمكن إخراجه، أي عدم إرساله,ب خ
بد,بدد,تفريق ممتد أو إبعاد دائم يلزمه حدوث فراغ,ب د
بد,بدو,بروز بقوة أو تجسُّم مع امتداد وحَوْز,ب د
بد,بيد,خلوُّ البراح الواسع الممتد مما ينبت في مثله مع جلادة ظاهره,ب د
بد,بدأ,ظهور الشيء أو تكوُّنه لأول مرة,ب د
بد,أبد,البقاء الدائم أو الإقامة الدائمة بلا حد مع عدم الألفة,ب د
بد,بدر,زيادة في جِرْم الشيء، وسَبْقٌ يبلغ به كمال حاله,ب د
بد,بدع,إنشاء الشيء جديدًا على غير أصلٍ سَبَق,ب د
بد,بدل,حلول شيء محلّ شيء (وجود هذا لاختفاء ذاك),ب د
بد,بدن,كُتلة عِظْمِ الحي التي تتفرع منها أطرافه وتمتد,ب د
بذ,بذذ,عدم اتّساق الشيء بعضه مع بعض بتماسكه,ب ذ
بذ,بذر,نثر الدِّقاق المتجمعة أو انتشارها وتفرّقها منثورةً على الأرض,ب ذ
بر,برر,تجرُّد مع انبساط عظيم وجفاف بلا كثافة,ب ر
بر,برو,تسوية الشيء بقَشْر ما يعرو ظاهره,ب ر
بر,برأ,سلامة الحيّ وخلوصه مما يكتنفه، أو يتنقّصه,ب ر
بر,بور,توقّف الشيء عن حصول جدواه بالرغم من توافر هذه الجدوى فيه,ب ر
بر,بأر,حَفْرٌ في ظاهر الأرض ممتد إلى جوفها,ب ر
بر,وبر,تغطية ظاهر الشيء بدقاق ممتدة ناعمة كالشعر تنفذ منه مسترسلة,ب ر
بر,برج,بروز ناصع قوي من بين ما يكتنفه في ظاهر الشيء,ب ر
بر,برح,زوال الشيء من مقره باتساع مع جفاف، أو شدّة,ب ر
بر,برد,تقلُّص الشيء المتسيّب؛ فيتداخل أو يتجمد؛ فلا يمتد,ب ر
بر,برز,خلوص الشيء أو ظهوره ظهورًا قويًّا؛ أي نفاذه من بين ما يكتنفه بجهد وقوة,ب ر
بر,برزخ,معبر باطني جوفي من خلال حاجز بين أشياء,ب ر
بر,برص,وَضَحٌ قوي البياض في جزء أو أجزاء من أديم الشيء؛ أي ظاهره العريض,ب ر
بر,برق,بروز من العمق إلى الظاهر بحدّة ودقة لمعانٍ أو تميّز,ب ر
بر,برك,ثبات واستمرار مع لُطف,ب ر
بر,برم,لأم شيئين أو أشياء معًا لأمًا شديدًا بحيث لا تتسيّب ولا تنتشر,ب ر
بر,بره,امتلاء باطن الشيء بلطيف يُصلحه ويُجمِّل ظاهره,ب ر
بز,بزز,نفاذ الشيء من مضيق يحصره بضغط وعَصْر,ب ز
بز,بزغ,نفاذ جِرْم حادّ من بين ما يُغيِّبه ببطء وضغط,ب ز
بس,بسس,تسيُّب (تفتت) الدِّقاق الجافة بتسريب مائع بينها ليسهل ابتلاعها,ب س
بس,يبس,جفاف الشيء بذهاب رطوبته ونداه,ب س
بس,بأس,جفاف أو حِدّة تخالط الجوف أو الحَوْزة,ب س
بس,بسر,طَلَبُ الشيء قبل تهيّؤ ظروفه، أو استكراه الشيء على الانفتاح عما في باطنه,ب س
بس,بسط,تفلطُح الشيء وانفراشه، أو اتساعه (ومن هذا امتداده),ب س
بس,بسق,اندفاع الشيء نافذًا أو ممتدًا من عمقه بأقوى من المعتاد,ب س
بس,بسل,احتباس مع كراهة (احتباس شيء كريه طعمًا أو رائحةً في أثناء الشيء),ب س
بس,بسم,كَشْرُ الشفتين عن الأسنان,ب س
بش,بشش,انتشار وتفشٍّ لغضّ أو لطيف في ظاهر الجِرْم، أو منه,ب ش
بش,بشر,انتشار واسع على ظاهر الشيء,ب ش
بص,بصص,انبعاث بريق، أو شيء جديد من مصدره، أو ما كان يحتويه بقوة,ب ص
بص,بصر,إمساك أو التقاط في أثناء المتجمع أو الممتد,ب ص
بص,بصل,تجمُّع النامي في كرة ذات حرافة,ب ص
بض,بضض,اكتناز الباطن برقيق يَنْضَح على الظاهر نصاعةً، أو رِقّة,ب ض
بض,بيض,تجرُّد الظاهر أو استواؤه مع لمعان واختزان، أو احتباس,ب ض
بض,بضع,فِلْذُ اللحم ونحوها مما يتجمع في قِطَع رخوة,ب ض
بط,بطط,الشق عن المتجمع الرخو لإفراغه,ب ط
بط,بطأ,ثقل حركة الشيء وانتقاله وكأنما أصل ذلك ثقل جِرمه من ضخامته,ب ط
بط,بطر,تجمع مادة فاسدة في الباطن أو الأثناء شأنها أن يُشَقَّ عنها,ب ط
بط,بطش,الثقل الشديد أو الضغط الشديد للشيء حتى يكاد يسحق ما تحته,ب ط
بط,بطل,اختزان قوة عظيمة,ب ط
بط,بطن,التعبير عن الجوف الداخلي للشيء حيث يُخفى فيه ما يدخل إليه,ب ط
بع,بعع,خروج المائع ونحوه مما يضمه بغزارة ويلزمه خواء وعائه,ب ع
بع,بيع,انتقال ما في الحَوْزة بجِرْمه كله إلى حَوْزة أخرى,ب ع
بع,بعث,إثارة (الحي) من مكان يلزمه بقوة فيندفع ناهضًا أو مبتعدًا,ب ع
بع,بعثر,تفريق الشيء المستقر أو تقليبه بلا نظام,ب ع
بع,بعد,مفارقة جِرْم الشيء آخرَ معينًا بمسافة ممتدة تحجزه عن ملاقاته,ب ع
بع,بعر,مفارقة للجوف أو الحيز مع تميّز (أو انتظام) وتوالٍ,ب ع
بع,بعض,أخْذُ (اقتطاع) جزء مما يحتويه الشيء,ب ع
بع,بعل,استقلال الشيء في تحصيل ما به قوامه مائيًّا,ب ع
بغ,بغغ,فَوَران الشيء أو امتلاؤه بما هو غَضٌّ له حِدّةٌ ما,ب غ
بغ,بغو,تزايد الشيء نموًا وقوةً، أو تَوصُّلًا لاكتمال حاله,ب غ
بغ,بغت,المفاجأة بشديد، أو مكروه,ب غ
بغ,بغض,احتواء القلب على مشاعر غليظة (من باب الكره والعداوة),ب غ
بغ,بغل,اختلاط سلالة الحي بسلالة جنس أغلظ منه؛ فيبقى أثره فيها,ب غ
بق,بقق,كثرة الخارج من الجوف من امتلائه بكثير,ب ق
بق,بقو,دوام وجود الشيء في الجوف لا يفنى,ب ق
بق,وبق,تورّط أو توريط مهلك,ب ق
بق,أبق,حَبْسٌ مكروه في حيّز، أو جوف شيء,ب ق
بق,بقر,انفتاح جوف الشيء عما فيه باتساع,ب ق
بق,بقع,ظهور مساحات محددة الاتساع تتميز بحدة في ظاهر نافذة إليه,ب ق
بق,بقل,نبات (أو شيء ينبت) ضعيفًا في ظاهر شيء,ب ق
بك,بكك,ضغط يؤدي إلى تداخل جِرْم الشيء وانضغاطه بعضه في بعض,ب ك
بك,بكى,خروج المائع من جوف الشيء قليلاً قليلاً بنحو الاعتصار,ب ك
بك,بكر,صدور شيء من أصله لأول مرة قبل ما يصدر بعده من نفس الأصل من جنسه,ب ك
بك,بكم,انسداد أعلى الشيء على ما يمتلئ به جوفه؛ فلا ينفذ منه شيء,ب ك
بل,بلل,تَحَصُّل لطيف في الأثناء بتمكّن,ب ل
بل,بلو,شدة تَحُوز الشيء - أو حَوْز الشيء بشدة - لمدى طويل,ب ل
بل,بول,احتواء مادة لطيفة في الباطن تخرج - أو يظهر - أثرها,ب ل
بل,وبل,غِلَظ الجِرْم - أو غِلَظ ما يتعلّق به - ويلزم ذلك الثقل الشديد مع امتداد ما,ب ل
بل,أبل,احتواء باطن الشيء على مائع - أو غضّ - كثير - ويلزم ذلك التمدد,ب ل
بن,بلد,إصماتُ ظاهر متسع بحيث يحتبس فيه (أي لا ينفذ منه) ما يُتوقع نفاذه,ب ن
بن,بلس,اشتمال باطن الشيء على حِدّة لا تظهر,ب ن
بن,بلع,جَذْب الشيء إلى الجوف بقوة,ب ن
بن,بلغ,وصول الشيء إلى غاية له,ب ن
بن,بنن,امتداد الشيء اللطيف من أصله، أو فيه,ب ن
بن,بنو,زيادة قوية تنشأ للشيء؛ فتقيمه وتُنصبه، أو تُعظّمه وتمدّ جِرْمَه,ب ن
بو,بون,امتداد بين طرفين أو جانبين مع فصل كبير، أو اتساع,ب و
بهـ,بهـهـ,عِظَمُ ما يُحَسُّ من الشيء مع فراغٍ في الحقيقة (فهو عِظَمٌ ظاهري),ب هـ
بهـ,بهـت,انكسار الحِدّة، أو الصلابة والنخوة (لشدة، أو قهر),ب هـ
بهـ,بهـج,انشراح الصدر وسروره لبديع منظرٍ ناشئ من باطن,ب هـ
بهـ,بهـل,الخُلُوُّ مما يحفظ حَجْبًا، أو حماية، أو رعاية,ب هـ
بهـ,بهـم,خُلُوُّ ظاهر الشيء العريض من الفتحات أو المعالم التي تُميّز، أو تكشف,ب هـ
تأ,أتت,صدم الرأس بصلب دقيق يؤثر بالقطع والجرح,ت أ
تأ,أتو,وصول أو تقدم وحضور إلى مكان أو شيء بتهيئة أو قوة تزيل ما يعوق مع خفاء مصدر,ت أ
تب,تبب,ذهاب غلظ الشيء وشدته من ضغط حاد عليه,ت ب
تب,توب,توقف الشخص وانقطاعه عما كان يعمله من الذنوب ونحوها لرقة اعترته,ت ب
تب,تبت,صندوق يُحفظ فيه الشيء، أي يثبت حفظا وثباتا دائما,ت ب
تب,تبر,تفتت الشيء قطعًا دقيقة كثيرة,ت ب
تب,تبع,لحوق الشيء بمتقدم أو سابق بلا فصل مع رقة ولين,ت ب
تج,تجر,العمل طلبًا للأجر,ت ج
تح,تحتح,تحرك الشيء من مكانه بثقل واحتكاك بالمكان,ت ح
تح,تحت,كون الشيء أسفل جِرم آخر كأنه لاصق بأسفله,ت ح
تد,وتد,الثبات رسوخًا,ت د
تر,ترر,طفر الشيء الدقيق مبتعدًا عن مقره - أومنفصلا عنه - باندفاع,ت ر
تر,تور,دور الشيء راجعًا إلى ما فارقه أو تردده عليه بخفة,ت ر
تر,وتر,تجرد الشيء مما يحيط به، أو انكشاف هذا؛ عنه فيبقى دقيقًا ممتدًا بين جاذبين,ت ر
تر,ترب,تراكم أو توالي أشياء دقيقة أو ناعمة في ظاهر الشيء لاصقة أو عالقة به,ت ر
تر,ترف,امتلاء الشيء بالري والرخاوة حتى ينتبر متميزًا عما حوله,ت ر
تر,ترك,مفارقة الشيء ما كان يعلق به فيبقى بلا حاجة إليه او تصرف فيه,ت ر
تس,تسع,يرتبط بالعدد تسعة,ت س
تع,تعع,رخاوة متكاثفة في الأرض يسوخ فيها ما يطؤها بحيث يعسر خلوصه منها ومفارقته إياها,ت ع
تع,تعس,سقوط الإنسان بانكباب على وجهه,ت ع
تف,تفف,وسخ أو أذى يُفرَز أو يتراكم على ظاهر الشيء,ت ف
تف,تفث,انتشار الوسخ ونحوه مما يُفرزه الجسم أو يعلق به - عليه,ت ف
تق,تقتق,اندفاع الشيء إلى العمق أو نحوه بشدة,ت ق
تق,تقن,مادة جودة الشيء في بابه أو جنسه,ت ق
تل,تلل,تكديس بالضغط إلى أسفل حتى يصير الشيء جثا رابيا متماسكا,ت ل
تل,تلو,اتباع الشيء ما يسبقه لحوقًا به من خلفه,ت ل
تم,تمم,استيفاء جرم الشيء حجمه متميزًا عن غيره,ت م
تم,يتم,انفراد الشيء عن مجانسه مستقلًا بذاته,ت م
تن,تنن,انضغاط الشيء على نفسه فلا يمتد جرمه,ت ن
تن,تين,وجود أشياء دقيقة في أثناء شيء رخو لطيف,ت ن
تن,وتن,لزوم الشيء ظرفًا لزومًا دائمًا,ت ن
تن,تنر,امتلاء الجوف بشيء لطيف الجرم أو الحركة ينفذ منه,ت ن
تهـ,تهـتهـ,باطل يغمر فيُتردَّد فيه,ت هـ
تهـ,تيهـ,التحير في فضاء أو فراغ لا معالم فيه,ت هـ
أث,أثث,تجمع الدقاق اللطيفة بكثافة في شيء أو حوله فتكون طبقة لينة,أ ث
أث,ثوى,لمّ المنتشر المتفرق وجمعه في ما يؤويه,أ ث
ثب,ثبب,استقرار الشخص على الأرض متجمعًا بعد انتشار ما,ث ب
ثب,ثبو,تجمع المتفرق تجمعًا جزئيًا هنا وهناك أو مرة بعد أخرى,ث ب
ثب,ثوب,رجوع الشيء المتفرق الذاهب وتجمعه في نفس مكانه ثانية,ث ب
ثب,ثبت,متانة ارتباط الشيء المتنقل بما لزّ به أو قام عليه فلا يتحلحل,ث ب
ثب,ثبر,تجمع الشيء انقباضًا أو تقبضًا وعدم انتشار,ث ب
ثب,ثبط,ثقل الشيء في مكانه بحيث لا يكاد يفارقه,ث ب
ثج,ثجج,غزارة المائع الناشئ أو الخارج حتى يتجمع منه قدر كثيف,ث ج
ثخ,ثخخ,رخاوة الجرم الكثيف من كثرة الماء في أثنائه,ث خ
ثخ,ثخن,كثافة الشيء وغلظ سمكه مع رخاوة تتخلل أثناءه,ث خ
ثر,ثرر,غزارة المائع المنبثق أو الخارج من شيء,ث ر
ثر,ثرى,تخلل الندى ونحوه أثناء جرم باستر سال,ث ر
ثر,ثور,انتشار (حاد) كامن في عمق الشيء إلى حيث يرى في ظاهره,ث ر
ثر,أثر,بقية أو علامة تبقى من جرم الشيء ثابتة تخلفه,ث ر
ثر,ثرب,لصوق طبقة دقيقة على ظاهر الشيء حادة الوقع على الحس,ث ر
ثع,ثعع,خروج ما تجمع (من دقاق في باطن) كتلة ملتحمة الجرم رخوة,ث ع
ثع,ثعب,خروج المائع أو شبهه متصلًا أو ممتدًا متماسكًا من ثقب أو شبهه,ث ع
ثق,ثقق,خروج كلام فج غليظ يوحي بثقل الذهن,ث ق
ثق,وثق,بقاء الشيء إلى الأمد المرجو لكثافته واشتداد بعضه إلى بعض,ث ق
ثق,ثقب,اختراق دقيق لعمق شيء متين,ث ق
ثق,ثقف,تمكّن يبلغ به إتقان أحوال الشيء وأحكمها,ث ق
ثق,ثقل,انجذاب الشيء المحمول إلى الأرض أو إلى أسفل تبعًا لما تجمع فيه من مادة,ث ق
ثل,ثلل,تجمع من دقاق متنوعة تتناشب وتتميز أو تنفصل من أصلها,ث ل
ثل,أثل,تمكن أصول الشيء واجتماع الدقاق (الهدب) حوله مع عدم تفرعه,ث ل
ثل,ثلث,إمساك وتعلق لبضع حبات أو أشياء,ث ل
ثم,ثمم,ضم دقاق بكثافة وتخلخل ما,ث م
ثم,أثم,البطء (ثقلًا أو من حمل ثقيل),ث م
ثم,ثمد,قلة الماء الخارج لشدة احتباسه في مجتمعه,ث م
ثم,ثمر,ما ينعقد على أطراف الشجر من حمله إذا بلغ ينعه,ث م
ثم,ثمن,ضم الشيء وجمعه في الجوف,ث م
ثن,ثنن,تبطن دقاق متجمعة طيّ شيء,ث ن
ثن,ثنى,طي الشيء وإدخال أجزاء منه في أحنائه,ث ن
ثن,وثن,نمو الشيء كثرة أو ضخامة أو امتداد بقاء,ث ن
أج,أجج,حدة وحرافة تعمّ أثناء شيء غير صلب المادة,أ ج
أج,جوو,تجوف قوي مكتنف الجوانب في جرم شيء,أ ج
أج,جيأ,انحدار إلى حيز أو تجوف سفلي مهيأ جامع,أ ج
جب,جبب,استواء المتجسم ظاهريًا بالقطع,ج ب
جب,جبو,استخراج بقوة أو كثرة للماء ونحوه إلى حيز جامع كبير,ج ب
جب,جوب,قطع وسط الشيء المجتمع الصلب أو الشديد قطعًا مستديرًا,ج ب
جب,وجب,غؤور أو سقوط شديد في جوف أو ما يشبهه,ج ب
جب,جبت,كل ما عبد من دون الله,ج ب
جب,جبر,اشتداد وامتداد ذاتي يتجاوز ضعفًا أو خللًا طارئًا,ج ب
جب,جبل,تجمع عظيم شديد الأثناء مع غلظ هيأة,ج ب
جب,جبن,تجمد ظاهر الجرم على خلاء أو رقة في أثنائه,ج ب
جب,جبه,المواجهة بصلب عريض في مقدم الشيء ليس فيه رخاوة,ج ب
جث,جثث,تميز كتلة كثيفة ذات حجم اقتلاعًا أو ارتفاعًا,ج ث
جث,جثو,تحجم تراكمي يغلظ من فقد الارتفاع أو عدمه,ج ث
جث,جثم,تلبد الشيء الكثيف بالأرض متجمعًا بارتفاع ما,ج ث
جح,جحح,عظم الشيء من امتلاء باطنه بغليظ أو حاد,ج ح
جح,جحد,جفاف الباطن ويبسه على ما يتجمع فيه من قوى فلا تنبسط,ج ح
جح,جحم,بؤرة متوقدة الأثناء توقد أثناء الشيء الجسيم حدة مع غلظه,ج ح
جد,جدد,عظم الجرم مع تماسكه مستويًا ممتدًا أو منبسطًا,ج د
جد,جود,قوة خروج الماء (وما هو سلس) من جوف الشيء,ج د
جد,وجد,تحصل شيء ذي بال في حوزة كانت خالية منه,ج د
جد,جدث,نبث التراب وإخراجه بقوة من قطعة عريضة من الأرض,ج د
جد,جدر,نتوء جرم غليظ أو قوي إلى أعلى فوق ظاهر شيء,ج د
جد,جدل,امتداد الشيء شديد الأثناء بالتفاف بعضه على بعض أو التفاف مثله عليه,ج د
جذ,جذذ,كسر الصلب أو قطع الشديد الغليظ,ج ذ
جذ,جذو,امتداد الشيء الصلب قائمًا مستغلظًا بنفسه أو بحمل شيء,ج ذ
جذ,جذع,مقاربة النامي انتصابًا كمال نموه,ج ذ
جر,جرر,سحب الجرم المتجمع باستر سال وامتداد,ج ر
جر,جرى,انتقال بحركة خفيفة سريعة مسترسلة متصلة,ج ر
جر,جور,دخول في حيز شيء بقوة للإقامة أو افتجاء للاحتواء,ج ر
جر,جأر,اندفاع الشيء الغض من مصدره بقوة: كثرة أو امتداد,ج ر
جر,أجر,أثر أو حصيلة لجهد مادي فيه صنعة,ج ر
جر,جرح,قطع أو قشر الجزء من ظاهر جسم باحتكاك أو نحوه,ج ر
جر,جرد,تكشف ظاهر الجسم الممتد أو عريه مما يغطيه,ج ر
جر,جرز,تجرد سطح الأرض ليبس باطنها فلا تنبت شيئًا,ج ر
جر,جرع,تعاقب الغلظ والرقة في مادة الجسم الممتد,ج ر
جر,جرف,قطع وإزالة من أصل جسم الشيء الرخو,ج ر
جر,جرم,حصد عذوق التمر المعلقة بالنخل تجريدًا بعد تمام حاله,ج ر
جز,جزز,انجفال الشيء عن غيره أو تميزه ناشبًا بعضه في بعض بقوة,ج ز
جز,جزى,العائد المحصل من الشيء مقابل معالجته,ج ز
جز,جزأ,طرف أو بعض من الشيء مقدر يُقبض أو يحاط به,ج ز
جز,جوز,عبور أو نفاذ من طرف إلى طرف,ج ز
جز,جزع,انقطاع وسط الشيء مع التئام ظاهره أو اتصاله,ج ز
جس,جسس,نفاذ إلى باطن الشيء بدقة ولطف,ج س
جس,جوس,تخلل واختراق بحدة لشيء,ج س
جس,وجس,تحصل شيء دقيق الوقع في أثناء,ج س
جس,جسد,تجمد الجرم كتلةً مشبعة المسام يابسة,ج س
جس,جسم,تكثل مادي له طول وعرض وعمق,ج س
جع,جعع,تجوف أرضي واسع,ج ع
جع,جوع,فراغ في جوف الشيء من ذهاب ما كان يملؤه,ج ع
جع,جعل,تحويل الشيء إلى وضع أو هيئة معينة بعد تحول كتلته أو انتقالها,ج ع
جف,جفف,يبس الشيء المحيط برقيق وغلظه بحيث لا يكون في أثنائه بلل,ج ف
جف,جفو,تباعد الشيء عن مقره الذي حقه أن يستقر فيه,ج ف
جف,جفأ,دفع الشيء بعيدًا بما يخرج من أثنائه أو يتجمع على سطحه,ج ف
جف,جوف,فراغ واسع في قلب الشيء وباطنه,ج ف
جف,وجف,خفة حركة الشيء ومباعدته مقره المحيط به,ج ف
جف,جفن,غلاف للشيء العظيم أو المهم يسعه ويغطيه أو يحفظه,ج ف
