root_id,root_letters,description,category
1,أبب,التهيؤ للأمر تقدمًا، أو ارتفاعًا,ء ب
2,أبد,البقاء الدائم أو الإقامة الدائمة بلا حد مع عدم الألفة,ب د
3,أبق,حَبْسٌ مكروه في حيّز، أو جوف شيء,ب ق
4,أبل,احتواء باطن الشيء على مائع - أو غضّ - كثير - ويلزم ذلك التمدد,ب ل
5,أبو,الغَذْو,ء ب
6,أبي,الامتناع عن الشيء امتناعًا تامًا؛ كراهة له,ء ب
7,أتت,صدم الرأس بصلب دقيق يؤثر بالقطع والجرح,ت أ
8,أتو,وصول أو تقدم وحضور إلى مكان أو شيء بتهيئة أو قوة تزيل ما يعوق مع خفاء مصدر,ت أ
9,أثث,تجمع الدقاق اللطيفة بكثافة في شيء أو حوله فتكون طبقة لينة,أ ث
10,أثر,بقية أو علامة تبقى من جرم الشيء ثابتة تخلفه,ث ر
11,أثل,تمكن أصول الشيء واجتماع الدقاق (الهدب) حوله مع عدم تفرعه,ث ل
12,أثم,البطء (ثقلًا أو من حمل ثقيل),ث م
13,أجج,حدة وحرافة تعمّ أثناء شيء غير صلب المادة,أ ج
14,أجر,أثر أو حصيلة لجهد مادي فيه صنعة,ج ر
15,أجل,تجمع أو تماس مؤقت,ج ل
16,أحد,انفراد الشيء؛ فلا يكون معه مثله,ح د
17,أخخ,رقةُ أثناء الشيء، أي تخلخله بحيث يُشْرَب كالسوائل,التراكيب الخائية
18,أخذ,حَوْزُ الشيء في الأثناء ضمًا، أو قبضًا على غِلَظ,خ ذ
19,أخر,تخلف الشيء (في المكان أو الزمان) عن مقارنه,خ ر
20,أخو,عُروة - أو نحوها - يُشَدُّ فيها الشيء,التراكيب الخائية
21,أدد,ضغط عظيم مع امتداد,ود
22,أدم,غلاف يمسك الشيء ويطيب ظاهره أو يسيغه,دم
23,أدو,التمكن والتمكين من الشيء حَوْزًا، أو إتاحة انتفاع,يد
24,أذذ,القطع الوَحِيُّ السهل,ذ أ/ء
25,أذن,مرور لطيف من منفذ خلال أثناء مرورًا له أثر قوي,ذ ن
26,أذى,إفرازٌ - أو نحوه - مُنَفِّر (للنفس)، أو مقلق,ذ أ/ء
27,أرب,جمع المتفرق (أو ما شأنه التفرق)، أي رَبطه معا بضبط وإحكام,ر ب
28,أرض,كثافة الجرم مع غِنَى باطنه بلطيف تقوم به وعليه الأشياء,ر ض
29,أرك,إقامة، أو التئام (مع رقة، أو لطف),ر ك
30,أرم,تضامُّ الشيء في كتلة صلبة منتصبة أو ناصبة,ر م
31,أزر,اشتداد الشيء الممتد بقوى في أثنائه أو يحيط به,ز ر
32,أزز,ازدحام الأشياء وتضاغطها لقلة الفراغ بينها ويلزم ذلك حركة كالتموج,ز ب
33,أزف,تقارب المتباعد من الشيء أو جوانبه فيتضايق ما بينها,ز ف
34,أسر,شد الشيء - أي إيثاقه بدقيق ممتد؛ لحبسه على وضع ما دائما أو مدة طويلة,س ر
35,أسس,قوي (صلب، أو حاد الأثر) في عمق ينصب أو يتكون عليه ما بعده,س س
36,أسف,جفاف أثناء الشيء وذهاب نحو البلال منها,س ف
37,أسن,حدة تمتد في أثناء طولًا، أو قدمًا,س ن
38,أسو,ارتفاع الشيء القوي أو الحاد في الفجوة ليستوي أعلاه مع ما حوله,أ س
39,أشر,حِدّةٌ (أسنان دقيقةٌ حادة) تنتشر من طَرَفِ الشيء,ش ر
40,أصد,إحكام حجب الشيء وحده بما يسد المنفذ إليه,ص د
41,أصر,شدٌّ للحبس، أو الجمع,ص ر
42,أصل,امتداد في العمق يقوم عليه الشيء ويمتد منه إلى الأعلى,ص ل
43,أفف,(إفراز) شيء مكروه قليلًا، ونفيه، أي إبعاده وعدم قبوله,أ ف
44,أفق,تجوُّف داخلي (عُلْوِي) محاط,ف ق
45,أفك,تغير حال الشيء جملة من وجه إلى وجه,ف ك
46,أفل,غياب الشيء (الحاد) في مقره مع ضعف ما,ف ل
47,أكل,طحن الحي للمادة المطعومة مضغًا وبلعها,ك ل
48,ألت,النقص عن المستحق أو المتوقع,لت
49,ألف,تجمع المتفرقات مع نوع من المجانسة أو القبول بينها,لف
50,ألك,مضغ الشيء أو إدارته في الفم على شدة فيه,لك
51,ألل,انبساط أو امتداد بعرض ورقة دون كثافة أو انثناء,ءل
52,ألم,وجع يسري في أثناء البدن (أو النفس),لم
53,أله,شفافية أو ضوء مع أثر تستشعر حدته,له
54,ألو,اختزان الشيء مادته لا تتبدد,ءلو
55,ألى,تجمع غض يعلق بآخر الشيء أو أصله,ءلي
56,أمت,تخلخل الأثناء المفترض امتلاؤها من الشيء الممتد,م ت
57,أمد,حدود ما يُجْهَد فيه جرياً، أو حملاً,م د
58,أمر,نفاذ مع علو دونه جمع بشدّة,م ر
59,أمس,التخلف,م س
60,أمل,امتداد الشيء طولاً مع عرض ما، وتجمع - أو كثافة - فيه,م ل
61,أمم,تَضَامُّ شَيءٍ - أو أشياء - متجانسة في حيّز يحيط بظاهرها بلطف,م م
62,أمن,وثاقة في الباطن,م ن
63,أمو,أنثى مملوكة,ء م
64,أنث,لين أثناء الشيء وعدم غِلَظها وصلادتها,ن ث
65,أنس,( الأنس والالفة) كَوْنُ الشيء في وَسَطِ مجانس – أو مشاكل – له (يظهر منه),ن س
66,أنف,نتوء الشيء للأمام - أو إلى أعلى - دقيقًا مُسَوَّى سابقًا ما هو منه,ن ف
67,أنم,كل ما ينمو من إنسان وجان وحيوان ونبات,ن م
68,أنن,وجود الشيء - أو امتداده - في أثناء، أو جوف,ن ن
69,أنو,تهيؤ الشيء وصُلُوحُ حاله لما يراد به,أ  ن
70,أهل,سيوغ إلى الجوف بتمكن ولطف واستطابة,هـ ل
71,أوب,رجوع الشيء إلى مستقره,ء و
72,أود,الضغط بثقل شديد على الممتد حتى ينثني,يد
73,أول,حقيقة الشيء المتحصلة منه أي صلب مادته الخالصة,ءول
74,أوم,ذهاب كثافة الشيء ونداه - أو كماله - رغم اجتماع ظاهره أو استوائه,ء م
75,أون,اتساع الحيز لما يوضع فيه، وامتلاؤه به امتلاءً تامًا,أ و
76,أوه,التصويت تعبيراً عن التوجع من ألم حسي أو نفسي,هـ 
77,أوو,ضم مع ضعف ما,أ و
78,أيد,تحصين الشيء وتقويته من حوله,يد
79,أيك,التفاف الشجر بعضه على بعض مع نعومة وخفة,ك أ
80,أين,لزوم الأرض، أو بطء مفارقتها,أ ي
81,أيى,بقاء الشيء في مكانه شاخصاً علامةً لشيء,أ ي
