ayah_id,word_position,word,root_letters,root_id
1:1,1,بسم,بسم,127.0
1:1,2,لله,,
1:1,3,لرحمن,رحم,606.0
1:1,4,لرحيم,,
1:2,1,لحمد,حمد,385.0
1:2,2,لله,,
1:2,3,رب,,
1:2,4,لعلمين,علم,1152.0
1:3,1,لرحمن,رحم,606.0
1:3,2,لرحيم,,
1:4,1,ملك,ملك,1605.0
1:4,2,يوم,يوم,1884.0
1:4,3,لدين,دين,551.0
1:5,1,إياك,,
1:5,2,نعبد,عبد,1073.0
1:5,3,وإياك,,
1:5,4,نستعين,عين,1183.0
1:6,1,هدنا,,
1:6,2,لصرط,,
1:6,3,لمستقيم,لمس,1543.0
1:7,1,صرط,,
1:7,2,لذين,,
1:7,3,أنعمت,نعم,1693.0
1:7,4,عليهم,,
1:7,5,غير,غير,1240.0
1:7,6,لمغضوب,,
1:7,7,عليهم,,
1:7,8,ولا,,
1:7,9,لضالين,,
2:1,1,بسم,بسم,127.0
2:1,2,لله,,
2:1,3,لرحمن,رحم,606.0
2:1,4,لرحيم,,
2:1,5,الم,,
2:2,1,ذلك,,
2:2,2,لكتب,كتب,1429.0
2:2,3,لا,,
2:2,4,ريب,ريب,679.0
2:2,5,فيه,,
2:2,6,هدى,هدى,1756.0
2:2,7,للمتقين,,
2:3,1,لذين,,
2:3,2,يؤمنون,منو,1609.0
2:3,3,بلغيب,بلغ,165.0
2:3,4,ويقيمون,,
2:3,5,لصلوة,صلو,967.0
2:3,6,ومما,,
2:3,7,رزقنهم,رزق,616.0
2:3,8,ينفقون,نفق,1706.0
2:4,1,ولذين,,
2:4,2,يؤمنون,منو,1609.0
2:4,3,بما,,
2:4,4,أنزل,نزل,1656.0
2:4,5,إليك,,
2:4,6,وما,,
2:4,7,أنزل,نزل,1656.0
2:4,8,من,,
2:4,9,قبلك,قبل,1333.0
2:4,10,وبلءاخرة,وبل,1798.0
2:4,11,هم,,
2:4,12,يوقنون,قنو,1412.0
2:5,1,أولئك,,
2:5,2,على,,
2:5,3,هدى,هدى,1756.0
2:5,4,من,,
2:5,5,ربهم,,
2:5,6,وأولئك,,
2:5,7,هم,,
2:5,8,لمفلحون,فلح,1306.0
2:6,1,إن,,
2:6,2,لذين,,
2:6,3,كفروا,كفر,1462.0
2:6,4,سواء,,
2:6,5,عليهم,,
2:6,6,ءأنذرتهم,نذر,1651.0
2:6,7,أم,,
2:6,8,لم,,
2:6,9,تنذرهم,نذر,1651.0
2:6,10,لا,,
2:6,11,يؤمنون,منو,1609.0
2:7,1,ختم,ختم,426.0
2:7,2,لله,,
2:7,3,على,,
2:7,4,قلوبهم,,
2:7,5,وعلى,,
2:7,6,سمعهم,سمع,820.0
2:7,7,وعلى,,
2:7,8,أبصرهم,بصر,130.0
2:7,9,غشوة,غشو,1207.0
2:7,10,ولهم,لهم,1548.0
2:7,11,عذاب,,
2:7,12,عظيم,,
2:8,1,ومن,,
